nhid,name,link,illustrator,character
306517,[Kyockcho] Namaiki Karin (COMIC BAVEL 2019-12) [English] [Sydin] [Digital],https://nhentai.net/g/306517,kyockcho,null
202201,(COMITIA120) [squeezecandyheaven (Ichihaya)] Onii-chan no Osoushiki | My Brother's Funeral [English] [ATF],https://nhentai.net/g/202201,ichihaya,null
348612,(FF34) [Aokihoshi (Akaiguppy)] Secret Dungeon Battle (Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka?) [English] {Hennojin},https://nhentai.net/g/348612,akaiguppy,hestia
346024,[AOKIHOSHI (Akaiguppy)] Dungeon no Ana Sono (Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka) [English] [Digital],https://nhentai.net/g/346024,akaiguppy,hestia
232398,[AOKIHOSHI (Akaiguppy)] Kono Azen na Kazuma ni Shojo o! (Kono Subarashii Sekai ni Syukufuku o!) [English] [Doujins.com],https://nhentai.net/g/232398,akaiguppy,aqua
298939,(C91) [Aokihoshi (Akaiguppy)] RE:Zero After Story (Re:Zero kara Hajimeru Isekai Seikatsu) [English] [EHCOVE],https://nhentai.net/g/298939,akaiguppy,emilia
175220,(C90) [Pirokobo (Piro)] Kono Bakuretsudou ni Gohoubi o! (Kono Subarashii Sekai ni Syukufuku o!) [English] [Cecilbk],https://nhentai.net/g/175220,piro,kazuma satou
191049,(C91) [Illumination. (Ogadenmon)] Kono Subarashii Seiyoku ni Syukufuku o! (Kono Subarashii Sekai ni Syukufuku o!) [English],https://nhentai.net/g/191049,ogadenmon,aqua
272527,(C90) [Waffle Doumeiken (Tanaka Decilitre)] Kono Subarashii Kouma no Musume-tachi to 3P o! | Threesome with These Wonderful Crimson Demon Girls! (Kono Subarashii Sekai ni Syukufuku o!) [English] [Juster],https://nhentai.net/g/272527,tanaka decilitre,kazuma satou
266169,(C94) [Waffle Doumeiken (Tanaka Decilitre)] Kouma no Musume wa Tsukiyo ni Hoeru (Kono Subarashii Sekai ni Syukufuku o!) [English] [Comfy Pillow Scans],https://nhentai.net/g/266169,tanaka decilitre,kazuma satou
196608,"(C91) [Tracklisko (Hiura R)] Kotoba ya Moji o Tsukawanakute mo Kokoro ga Tsuujiau Koto tte Nandakke? | ""A Silent Heart-to-Heart Encounter,"" what do you call it again? (Kono Subarashii Sekai ni Syukufuku o!) [English] [Redlantern]",https://nhentai.net/g/196608,hiura r,kazuma satou
205426,(C92) [Number2 (Takuji)] Eromanga-jima e Tsuretette | Take Me to Eromanga Island (Eromanga Sensei) [English],https://nhentai.net/g/205426,ohtomo takuji,masamune izumi
255619,(COMIC1☆14) [Sheepfold (Tachibana Yuu)] KYOURYU no naka no PARASITE (DARLING in the FRANXX) [English],https://nhentai.net/g/255619,tachibana yuu,ichigo
211648,(COMIC1☆12) [MOSQUITONE. (Great Mosu)] Koisuru Dai Akuma | The Archdemon In Love (Gabriel DropOut) [English] {Tanjoubi},https://nhentai.net/g/211648,great mosu,satanichia kurumizawa
192665,(FF29) [Milkshake Work (Milkshake)] Bakakuma Satania’s Human Domination Plan (Gabriel Dropout) [English] {Hennojin} [Decensored],https://nhentai.net/g/192665,milkshake,satanichia kurumizawa
205366,[Popochichi (Yahiro Pochi)] Eromanko Daisensei (Eromanga Sensei) [English] [Doki Fansubs] [Digital],https://nhentai.net/g/205366,yahiro pochi,masamune izumi
316405,[micro page (Kuromotokun)] Comike no Omake Matome part 1,https://nhentai.net/g/316405,kuromotokun,sagiri izumi
297083,(C91) [Aokihoshi (Akaiguppy)] RE:Zero After Story (Re:Zero kara Hajimeru Isekai Seikatsu) [English],https://nhentai.net/g/297083,akaiguppy,emilia
262427,(C94) [AOKIHOSHI (Akaiguppy)] Goranshin Nasai! Ainz-sama (Overlord) [English] [Tigoris Translates],https://nhentai.net/g/262427,akaiguppy,albedo
296885,"(C94) [Tousen Soudou (Tousen, T-10)] Otona no Nazarick | Adult Nazarick (Overlord) [English] [EHCOVE]",https://nhentai.net/g/296885,null,ainz ooal
257955,(C95) [micro page (Kuromotokun)] JC no Omake,https://nhentai.net/g/257955,kuromotokun,null
356455,"(C94) [Ichigosize (Natsume Eri)] Amaechattemo Yokutteyo! | Very well, I'll spoil you rotten! (Fate/Grand Order) [English] [The Blavatsky Project]",https://nhentai.net/g/356455,natsume eri,gudao
344660,[AERODOG (inu)] Nakayoshi Bishokuden (Princess Connect! Re:Dive) [English],https://nhentai.net/g/344660,inu,kokkoro
355214,"[Moo] Kyaru-chan to ""Oshokuji"" | 与凯露酱的“用餐” (Princess Connect! Re:Dive) [Chinese] [萌纹个人汉化]",https://nhentai.net/g/355214,moo,kyaru
349254,"(FF35) [Studio Campanula (Arashiya)] Saikin, Imouto no Yousu ga Chotto Okashiin daga. (Kimetsu no Yaiba) [English] {Doujins.com}",https://nhentai.net/g/349254,arashiya,nezuko kamado
283001,(C96) [Nameless (GuiZhenCao)] Moshi Nezuko ga Warui Hito ni Tsukamattara... (Kimetsu no Yaiba) [English],https://nhentai.net/g/283001,chen bin,nezuko kamado
322820,[Kyockchokyock (Kyockcho)] Tohsaka Shimai Ryoujoku -Rin Hen- | Subjected TOHSAKA Sisters -Episode Rin- (Fate/stay night) [English] [Hive-san] [Digital] [Colorized],https://nhentai.net/g/322820,kyockcho,rin tosaka
326908,"(C97) [Shinohara Heavy Industry (Haruna Mao, Ukyochu)] Kaguyax 2 (Kaguya-sama wa Kokurasetai) [English]",https://nhentai.net/g/326908,haruna mao,chika fujiwara
267858,(SC2019 Spring) [Junginboshi (Asahi)] Fujiwara-shoki wa Kotowaritai (Kaguya-sama wa Kokurasetai) [English] [SmugLord],https://nhentai.net/g/267858,takashina asahi,chika fujiwara
228348,(C93) [VOLUTES (Kurogane Kenn)] Nukumori no Mori (Chuunibyou demo Koi ga shitai!) [English] [Davinci Scans],https://nhentai.net/g/228348,kurogane kenn,sanae dekomori
273471,(C88) [Takumi na Muchi (Takumi na Muchi)] Tanoshii Jikan (Gakkou Gurashi!) [English] [dvinrtribution],https://nhentai.net/g/273471,takumi na,kurumi ebisuzawa
262604,(C92) [Circle-FIORE (Ekakibit)] Jinno Megumi to NeCafe no Couple Seat de Ichaicha suru Hon | Making Out With Jinno Megumi On A Couple Seat Of The NeCafe (Eromanga Sensei) [English] {Doujins.com},https://nhentai.net/g/262604,ekakibit,masamune izumi
329290,(C92) [Poyopoyosky (Saeki Sola)] Eromanga Sensei no Shiryou ni Natte Ippai Pakopako Suru Hon | Becoming Eromanga-Sensei's Reference Material and Having a Lot of Sex with Her: The Book (Eromanga Sensei) [English] [Between3and20chars + Brook09],https://nhentai.net/g/329290,saeki sola,masamune izumi
264261,(C94) [PoyoPoyoSky (Saeki Sola)] Onii-chan wa Onapet[Chinese] [绅士仓库汉化],https://nhentai.net/g/264261,saeki sola,null
285838,(SC2017 Summer) [Poyopoyosky (Saeki Sola)] Ore no Imouto ni Nekomimi ga Haete Ecchi ni Naru Wake ga Nai!! (Eromanga Sensei) [Chinese] [星幽漢化組],https://nhentai.net/g/285838,saeki sola,sagiri izumi
324534,"(HoloKle) [Rotary Engine (Kannazuki Motofumi)] Otona no Hologra | Adult's Holovid (Usada Pekora, Sakura Miko) [English] [Xzosk]",https://nhentai.net/g/324534,kannazuki motofumi,sakura miko
355512,[Dendou Kamaboko Koubou] Pekora Saimin Appli Wakarase Hon | A Book Where Pekora Gets Put in Her Place By a Hypnosis App (Usada Pekora) [English] [Shizuhaki] [Digital],https://nhentai.net/g/355512,null,usada pekora
352934,[Moo] Mona-chan ni Aenai Riyuu (Mousou) (Genshin Impact),https://nhentai.net/g/352934,moo,mona megistus
343823,(AC2) [Hitsuji Kikaku (Muneshiro)] MONA-OCHI | Mona's Fall (Genshin Impact) [English] [Gondis],https://nhentai.net/g/343823,muneshiro,mona megistus
342417,(Hataket) [Twilight Road (Tomo)] Okane no Tame nara Shikataganai! | It Can't Be Helped if It's for Money (Genshin Impact) [English] [Gondis],https://nhentai.net/g/342417,tomo,mona megistus
249458,[Nhoooooooooooooo (Oosawara Sadao)] Futokutei Tasuu no Otoko to Berochuu Sex Suru Shimakaze Netorase Bon | A Book Where Shimakaze Has Passionate Netorase Sex With a Large Number of Men (Kantai Collection -Kancolle-) [English] [Zukuyo] [Digital],https://nhentai.net/g/249458,oosawara sadao,shimakaze
142154,(C88) [Fatalpulse (Asanagi)] VictimGirls 19 JEZEBEL AMAZONES (Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka) [English] {Cutegirls},https://nhentai.net/g/142154,asanagi,tiona hiryute
241651,(COMIC1☆12) [Deadnoodles] Shico Rico Douga (Love Live! Sunshine!!) [English],https://nhentai.net/g/241651,deadnoodles,riko sakurauchi
292270,(C96) [AOKIHOSHI (Akaiguppy)] Takao to Atago Senpai no Ijime Ninmu (Azur Lane),https://nhentai.net/g/292270,akaiguppy,atago
